"$theta_scan [deg]","mag(S(FloquetPort1:2,WavePort:1)) [] - Freq='47.625GHz'","mag(S(FloquetPort1:4,WavePort:2)) [] - Freq='47.625GHz'"
0,0.000295463688441313,6.71204187895033E-09
0.5,0.000295465971446701,6.69151353794002E-09
1,0.000295468541541215,6.67110783460524E-09
1.5,0.000295471398863665,6.65082484180639E-09
2,0.000295474543720193,6.63066461471026E-09
2.5,0.000295477818089803,5.79723808646105E-09
3,0.000295481540072895,5.77898767172807E-09
3.5,0.000295485551530385,5.76089611656455E-09
4,0.000295490410843675,6.48840809644482E-09
4.5,0.000295495007549519,6.47191151760447E-09
5,0.000295499898185686,6.45553059495897E-09
5.5,0.000295505196920317,6.44962479763667E-09
6,0.000295510679570812,6.43350307851644E-09
6.5,0.000295516460893069,6.41749219608128E-09
7,0.000295522542775201,6.40159115289811E-09
7.5,0.00029552892724906,6.385798938693E-09
8,0.000295535616486378,6.370114530528E-09
8.5,0.000295542612794878,6.35453689325077E-09
9,0.000295549918613982,6.33906498195407E-09
9.5,0.000295557536510528,6.32369774159658E-09
10,0.000295565469173794,6.30843410915937E-09
10.5,0.000295573719410935,6.2932730134582E-09
11,0.000295582290142358,6.27821337798117E-09
11.5,0.000295591184392552,6.26325411829095E-09
12,0.000295593080704413,5.35365060788085E-09
12.5,0.000295602659826723,5.34644747593528E-09
13,0.000295612573410256,5.33941658282475E-09
13.5,0.000295619437748245,5.37633172746461E-09
14,0.000295630037982244,5.3670172572035E-09
14.5,0.000295641003479996,5.35787220851569E-09
15,0.000295652313280745,5.34889538905103E-09
15.5,0.000295663018217216,5.23813736301073E-09
16,0.000295676980927928,6.66676928498131E-09
16.5,0.000295689354182887,6.65173023687151E-09
17,0.000295702134320484,6.63681688065594E-09
17.5,0.000295715258936037,6.62202804370211E-09
18,0.000295728767969227,6.60736335804119E-09
18.5,0.000295742606339025,6.59282163189492E-09
19,0.000295757297168374,6.61901541713283E-09
19.5,0.000295771919312224,6.59832526371419E-09
20,0.000295786927667552,6.57776706617182E-09
20.5,0.000295802325965976,6.55734082800485E-09
21,0.00029581811790395,6.53704654526259E-09
21.5,0.000295834307133716,6.5168842074149E-09
22,0.000295850897254321,6.49685379768944E-09
22.5,0.000295868465322623,6.17075100988489E-09
23,0.000295885865580917,6.15694950464769E-09
23.5,0.000295903677068808,6.14326378939003E-09
24,0.000295921903078983,6.12969279756153E-09
24.5,0.000295940546803908,6.11623546639758E-09
25,0.000295959611326154,6.10289074010778E-09
25.5,0.000295979099608571,6.08965756826528E-09
26,0.000295999014484871,6.07653490865752E-09
26.5,0.000296019358649685,6.06352172782228E-09
27,0.000296040134648907,6.05061700084697E-09
27.5,0.000296061344869856,6.03781971405927E-09
28,0.000296082991531743,6.02512886421705E-09
28.5,0.000296105076675633,6.01254346113317E-09
29,0.000296127602155049,6.00006252681825E-09
29.5,0.000296150569625967,5.98768509755897E-09
30,0.000296173980537523,5.97541022483688E-09
30.5,0.000296197836122144,5.96323697518318E-09
31,0.000296222137386259,5.95116443180886E-09
31.5,0.000296246878490498,5.94546096333338E-09
32,0.00029627206193341,5.93367892744583E-09
32.5,0.000296297732545912,5.92199537473051E-09
33,0.00029632381335431,5.91040957001833E-09
33.5,0.000296350347277562,5.89892083509577E-09
34,0.00029637732992455,5.88752784980556E-09
34.5,0.000296404758187534,5.87623002033178E-09
35,0.000290623181916379,4.63476915156298E-09
35.5,0.000290651160214474,4.62832515479542E-09
36,0.000290679467276087,4.5182101407366E-09
36.5,0.000290708330237536,4.51387226430049E-09
37,0.000290737563647983,4.5094896700732E-09
37.5,0.000290767250344962,4.50529647266947E-09
38,0.000290797338249814,4.50104554436615E-09
38.5,0.000290827863374549,4.49683986157819E-09
39,0.000290858785300238,4.49269684039544E-09
39.5,0.000290890143388764,4.48860160217945E-09
40,0.000290921978857597,4.48452674249572E-09
40.5,0.000290954128353702,4.48051071225236E-09
41,0.000290986660496445,4.47649588947832E-09
41.5,0.000291019596350314,4.47252114879238E-09
42,0.000291052923134725,4.46857856933366E-09
42.5,0.000291087035337232,4.44879626109682E-09
43,0.000291121149525353,4.44522346230829E-09
43.5,0.000291155625812471,4.44167381126433E-09
44,0.000291190407232458,4.43813551086298E-09
44.5,0.000291225527110384,4.43465288103262E-09
45,0.000291261010826493,4.43119065820811E-09
45.5,0.000291296858368883,4.42778282286336E-09
46,0.000291331391499015,1.47697837010797E-08
46.5,0.000291367849455192,1.47765888411435E-08
